latitude,longitude,location,newlocation
20.82488495242425,-98.4995168750031,"unnamed road, Tianguistengo, HID, Mexico","unnamed road, Tianguistengo, HID, Mexico"
-3.45175152,-54.56393669,"Placas, Região Geográfica Intermediária de Santarém, Brazil","Placas, Regiao Geografica Intermediaria de Santarem, Brazil"
-23.49646371,-47.46054193,"Pátio Cianê Shopping, Avenida Doutor Afonso Vergueiro 823, Centro, Sorocaba - SP, 18035-011, Brazil","Patio Ciane Shopping, Avenida Doutor Afonso Vergueiro 823, Centro, Sorocaba  SP, 18035011, Brazil"
-16.54867768,-72.85277758,"Carretera Panamericana Sur, San Isidro, Mariscal Cáceres, Peru","Carretera Panamericana Sur, San Isidro, Mariscal Caceres, Peru"
-35.01086957,140.0643972,"9180A Karoonda Highway, Borrika SA 5309, Australia","9180A Karoonda Highway, Borrika SA 5309, Australia"
-14.22366709,-43.75370355,"Rodovia BA-161, Barra da Parateca, Carinhanha - BA, Brazil","Rodovia BA161, Barra da Parateca, Carinhanha  BA, Brazil"
38.06349662,32.59794981,"unnamed road, Selçuklu, Turkey","unnamed road, Selcuklu, Turkey"
-22.81322954,22.03515412,"Trans-Kalahari Corridor, Lone Tree Village, Botswana","TransKalahari Corridor, Lone Tree Village, Botswana"
-11.71737961,-57.05230863,"MT-338, Porto dos Gaúchos, Região Geográfica Intermediária de Sinop - MT, Brazil","MT338, Porto dos Gauchos, Regiao Geografica Intermediaria de Sinop  MT, Brazil"
-27.07860659,146.7192057,"Charleville-Bollon Road, Boatman QLD, Australia","CharlevilleBollon Road, Boatman QLD, Australia"
46.71905466,9.459717888,"Bavurtga, 7412 Scharans, Switzerland","Bavurtga, 7412 Scharans, Switzerland"
16.2263944,-14.07406777,"N 2, Coga Dieri, Senegal","N 2, Coga Dieri, Senegal"
16.5252514,79.2460586,"Nagarjunakonda, Macherla - Vijayapuri South Road, Palnadu, Kothapalle -, Andhra Pradesh, India","Nagarjunakonda, Macherla  Vijayapuri South Road, Palnadu, Kothapalle, Andhra Pradesh, India"
-25.51086252,-63.00873004,"Ruta Provincial 61, Taco Pozo, Argentina","Ruta Provincial 61, Taco Pozo, Argentina"
26.33348412,-102.6598057,"Carretera San Pedro de las Colonias-Cuatro Ciénegas, Coahuila, Mexico","Carretera San Pedro de las ColoniasCuatro Cienegas, Coahuila, Mexico"
2.253234338,99.64904229,"unnamed road, Bangun Rejo, North Sumatra, Indonesia","unnamed road, Bangun Rejo, North Sumatra, Indonesia"
55.60493952,124.9186252,"Транспортная улица, 19, Могот, Amur Oblast, Russia","Transportnaia ulitsa, 19, Mogot, Amur Oblast, Russia"
-28.64395625,134.3537937,"Stuart Highway, Mount Willoughby SA 5723, Australia","Stuart Highway, Mount Willoughby SA 5723, Australia"
0.000271325,40.38448656,"unnamed road, Garissa, Kenya","unnamed road, Garissa, Kenya"
-10.78139948,-38.357234,"unnamed road, Heliópolis - BA, Brazil","unnamed road, Heliopolis  BA, Brazil"
44.08487932,111.1884431,"Сайншанд - Замын-Үүд, Mongolia","Sainshand  ZamynUud, Mongolia"
-24.09338219,-50.35383822,"Rodovia Engenheiro Ângelo Ferrário Lopes, Lago Azul, Curiúva - PR, Brazil","Rodovia Engenheiro Angelo Ferrario Lopes, Lago Azul, Curiuva  PR, Brazil"
-39.71868496,-70.57281281,"Calcatre, Ruta Nacional 40, Departamento Catán Lil, Neuquén Province, Argentina","Calcatre, Ruta Nacional 40, Departamento Catan Lil, Neuquen Province, Argentina"
54.43463978,36.36091837,"«Золотое кольцо», Крутицы, Kaluga Oblast, Russia","Zolotoe koltso, Krutitsy, Kaluga Oblast, Russia"
-7.119905295,111.5604725,"unnamed road, Blora 58312, Central Java, Indonesia","unnamed road, Blora 58312, Central Java, Indonesia"
-14.94045156,143.5541589,"Peninsula Developmental Road, Yarraden QLD, Australia","Peninsula Developmental Road, Yarraden QLD, Australia"
46.96431593,91.45170002,"Monkh Khairkhan National Park, Mongolia","Monkh Khairkhan National Park, Mongolia"
41.84265812,33.73204022,"Kastamonu-İnebolu yolu, Küre, Turkey","KastamonuInebolu yolu, Kure, Turkey"
-32.36562311,-66.93578981,"La Pampa Grande, Ruta Nacional 20, Belgrano, San Luis, Argentina","La Pampa Grande, Ruta Nacional 20, Belgrano, San Luis, Argentina"
-33.07499177,-64.72527751,"Ruta Provincial 30, Departamento Río Cuarto, Córdoba, Argentina","Ruta Provincial 30, Departamento Rio Cuarto, Cordoba, Argentina"
46.46690779,19.61027161,"6136 Harkakötöny, Árpád utca ., Hungary","6136 Harkakotony, Arpad utca, Hungary"
-8.709749021,-69.55795021,"BR-364, Manoel Urbano, Manoel Urbano - AC, Brazil","BR364, Manoel Urbano, Manoel Urbano  AC, Brazil"
-33.91484881,-57.76251157,"Ruta 12 Doctor Luis Alberto de Herrera, Soriano, Uruguay","Ruta 12 Doctor Luis Alberto de Herrera, Soriano, Uruguay"
37.41052793,40.84768713,"47-01, Yeşilli, Turkey","4701, Yesilli, Turkey"
1.215827407,34.73411179,"Kitale-Suam Road, Trans-Nzoia County, Kenya","KitaleSuam Road, TransNzoia County, Kenya"
-28.30400068,24.55413662,"R371, Dikgatlong Ward 5, Dikgatlong Local Municipality, South Africa","R371, Dikgatlong Ward 5, Dikgatlong Local Municipality, South Africa"
12.20986266,105.3137642,"71, Bos Khnor, Cambodia","71, Bos Khnor, Cambodia"
-32.31093668,125.1562395,"Eyre Highway, Balladonia WA, Australia","Eyre Highway, Balladonia WA, Australia"
50.07412767,18.82259308,"Świerkowa 38, 43-186 Orzesze, Poland","Swierkowa 38, 43186 Orzesze, Poland"
-31.88003046,141.7919382,"Barrier Highway, Broken Hill NSW, Australia","Barrier Highway, Broken Hill NSW, Australia"
42.29721959,24.92379086,"unnamed road, кв. Секирово, Rakovski 4150, Bulgaria","unnamed road, kv Sekirovo, Rakovski 4150, Bulgaria"
-37.78817006,144.2142406,"3359 Geelong-ballan Road, Beremboke VIC 3342, Australia","3359 Geelongballan Road, Beremboke VIC 3342, Australia"
-18.1015108,135.6636376,"Tablelands Highway, Creswell NT, Australia","Tablelands Highway, Creswell NT, Australia"
8.872528612,11.41777784,"unnamed road, Jalingo, Taraba State, Nigeria","unnamed road, Jalingo, Taraba State, Nigeria"
0.61424489,39.23578178,"Garissa-Modogashe Road, Mado Gashi, Kenya","GarissaModogashe Road, Mado Gashi, Kenya"
-47.66708386,-67.99612516,"Bosque petrificado Jaramillo, Ruta Provincial 49, Deseado, Santa Cruz Province, Argentina","Bosque petrificado Jaramillo, Ruta Provincial 49, Deseado, Santa Cruz Province, Argentina"
51.21399069,34.11921872,"Р-44, Konotop Raion, Буринська міська громада, Sumy Oblast, 41811, Ukraine","R44, Konotop Raion, Burinska miska gromada, Sumy Oblast, 41811, Ukraine"
-25.86926098,143.3897193,"Eromanga, Quilpie Shire, Queensland, Australia","Eromanga, Quilpie Shire, Queensland, Australia"
