latitude,longitude,location,newlocation,country,image_filename
20.82488495242425,-98.4995168750031,"unnamed road, Tianguistengo, HID, Mexico","unnamed road, Tianguistengo, HID, Mexico",Mexico,0.jpg
-3.45175152,-54.56393669,"Placas, Região Geográfica Intermediária de Santarém, Brazil","Placas, Regiao Geografica Intermediaria de Santarem, Brazil",Brazil,1.jpg
-23.49646371,-47.46054193,"Pátio Cianê Shopping, Avenida Doutor Afonso Vergueiro 823, Centro, Sorocaba - SP, 18035-011, Brazil","Patio Ciane Shopping, Avenida Doutor Afonso Vergueiro 823, Centro, Sorocaba  SP, 18035011, Brazil",Brazil,2.jpg
-16.54867768,-72.85277758,"Carretera Panamericana Sur, San Isidro, Mariscal Cáceres, Peru","Carretera Panamericana Sur, San Isidro, Mariscal Caceres, Peru",Peru,3.jpg
-35.01086957,140.0643972,"9180A Karoonda Highway, Borrika SA 5309, Australia","9180A Karoonda Highway, Borrika SA 5309, Australia",Australia,4.jpg
-14.22366709,-43.75370355,"Rodovia BA-161, Barra da Parateca, Carinhanha - BA, Brazil","Rodovia BA161, Barra da Parateca, Carinhanha  BA, Brazil",Brazil,5.jpg
38.06349662,32.59794981,"unnamed road, Selçuklu, Turkey","unnamed road, Selcuklu, Turkey",Turkey,6.jpg
-22.81322954,22.03515412,"Trans-Kalahari Corridor, Lone Tree Village, Botswana","TransKalahari Corridor, Lone Tree Village, Botswana",Botswana,7.jpg
-11.71737961,-57.05230863,"MT-338, Porto dos Gaúchos, Região Geográfica Intermediária de Sinop - MT, Brazil","MT338, Porto dos Gauchos, Regiao Geografica Intermediaria de Sinop  MT, Brazil",Brazil,8.jpg
-27.07860659,146.7192057,"Charleville-Bollon Road, Boatman QLD, Australia","CharlevilleBollon Road, Boatman QLD, Australia",Australia,9.jpg
46.71905466,9.459717888,"Bavurtga, 7412 Scharans, Switzerland","Bavurtga, 7412 Scharans, Switzerland",Switzerland,10.jpg
16.2263944,-14.07406777,"N 2, Coga Dieri, Senegal","N 2, Coga Dieri, Senegal",Senegal,11.jpg
16.5252514,79.2460586,"Nagarjunakonda, Macherla - Vijayapuri South Road, Palnadu, Kothapalle -, Andhra Pradesh, India","Nagarjunakonda, Macherla  Vijayapuri South Road, Palnadu, Kothapalle, Andhra Pradesh, India",India,12.jpg
-25.51086252,-63.00873004,"Ruta Provincial 61, Taco Pozo, Argentina","Ruta Provincial 61, Taco Pozo, Argentina",Argentina,13.jpg
26.33348412,-102.6598057,"Carretera San Pedro de las Colonias-Cuatro Ciénegas, Coahuila, Mexico","Carretera San Pedro de las ColoniasCuatro Cienegas, Coahuila, Mexico",Mexico,14.jpg
2.253234338,99.64904229,"unnamed road, Bangun Rejo, North Sumatra, Indonesia","unnamed road, Bangun Rejo, North Sumatra, Indonesia",Indonesia,15.jpg
55.60493952,124.9186252,"Транспортная улица, 19, Могот, Amur Oblast, Russia","Transportnaia ulitsa, 19, Mogot, Amur Oblast, Russia",Russia,16.jpg
-28.64395625,134.3537937,"Stuart Highway, Mount Willoughby SA 5723, Australia","Stuart Highway, Mount Willoughby SA 5723, Australia",Australia,17.jpg
0.000271325,40.38448656,"unnamed road, Garissa, Kenya","unnamed road, Garissa, Kenya",Kenya,18.jpg
-10.78139948,-38.357234,"unnamed road, Heliópolis - BA, Brazil","unnamed road, Heliopolis  BA, Brazil",Brazil,19.jpg
