latitude,longitude,location,newlocation
20.82488495242425,-98.4995168750031,0,"unnamed road, Tianguistengo, HID, Mexico"
-3.45175152,-54.56393669,1,"Placas, Regiao Geografica Intermediaria de Santarem, Brazil"
-23.49646371,-47.46054193,2,"Patio Ciane Shopping, Avenida Doutor Afonso Vergueiro 823, Centro, Sorocaba  SP, 18035011, Brazil"
-16.54867768,-72.85277758,3,"Carretera Panamericana Sur, San Isidro, Mariscal Caceres, Peru"
-35.01086957,140.0643972,4,"9180A Karoonda Highway, Borrika SA 5309, Australia"
-14.22366709,-43.75370355,5,"Rodovia BA161, Barra da Parateca, Carinhanha  BA, Brazil"
38.06349662,32.59794981,6,"unnamed road, Selcuklu, Turkey"
-22.81322954,22.03515412,7,"TransKalahari Corridor, Lone Tree Village, Botswana"
-11.71737961,-57.05230863,8,"MT338, Porto dos Gauchos, Regiao Geografica Intermediaria de Sinop  MT, Brazil"
-27.07860659,146.7192057,9,"CharlevilleBollon Road, Boatman QLD, Australia"
46.71905466,9.459717888,10,"Bavurtga, 7412 Scharans, Switzerland"
16.2263944,-14.07406777,11,"N 2, Coga Dieri, Senegal"
16.5252514,79.2460586,12,"Nagarjunakonda, Macherla  Vijayapuri South Road, Palnadu, Kothapalle, Andhra Pradesh, India"
-25.51086252,-63.00873004,13,"Ruta Provincial 61, Taco Pozo, Argentina"
26.33348412,-102.6598057,14,"Carretera San Pedro de las ColoniasCuatro Cienegas, Coahuila, Mexico"
2.253234338,99.64904229,15,"unnamed road, Bangun Rejo, North Sumatra, Indonesia"
55.60493952,124.9186252,16,"Transportnaia ulitsa, 19, Mogot, Amur Oblast, Russia"
-28.64395625,134.3537937,17,"Stuart Highway, Mount Willoughby SA 5723, Australia"
0.000271325,40.38448656,18,"unnamed road, Garissa, Kenya"
-10.78139948,-38.357234,19,"unnamed road, Heliopolis  BA, Brazil"
44.08487932,111.1884431,20,"Sainshand  ZamynUud, Mongolia"
-24.09338219,-50.35383822,21,"Rodovia Engenheiro Angelo Ferrario Lopes, Lago Azul, Curiuva  PR, Brazil"
-39.71868496,-70.57281281,22,"Calcatre, Ruta Nacional 40, Departamento Catan Lil, Neuquen Province, Argentina"
54.43463978,36.36091837,23,"Zolotoe koltso, Krutitsy, Kaluga Oblast, Russia"
-7.119905295,111.5604725,24,"unnamed road, Blora 58312, Central Java, Indonesia"
-14.94045156,143.5541589,25,"Peninsula Developmental Road, Yarraden QLD, Australia"
46.96431593,91.45170002,26,"Monkh Khairkhan National Park, Mongolia"
41.84265812,33.73204022,27,"KastamonuInebolu yolu, Kure, Turkey"
-32.36562311,-66.93578981,28,"La Pampa Grande, Ruta Nacional 20, Belgrano, San Luis, Argentina"
-33.07499177,-64.72527751,29,"Ruta Provincial 30, Departamento Rio Cuarto, Cordoba, Argentina"
46.46690779,19.61027161,30,"6136 Harkakotony, Arpad utca, Hungary"
-8.709749021,-69.55795021,31,"BR364, Manoel Urbano, Manoel Urbano  AC, Brazil"
